Gene,pval_adj_Single_cell,log2FoldChange,padj,Chromosome Position,Total_Mutations
DPEP1,1.97248970897292e-61,2.593428333,2.4812121683551697e-33,16q24.3,4
TXLNA,2.004400654691034e-61,0.493367571,4.36181163159598e-23,1p35.2,3
SEC23A,2.8740097825123032e-61,-0.442238347,1.24906747136961e-05,14q21.1,3
THOC6,2.9389581964475648e-61,1.331461713,5.7967094292817004e-55,16p13.3,2
ZNF250,3.1441490176333925e-61,0.669449792,4.00372006686371e-16,8q24.3,5
ABCC3,3.326388765575037e-61,-0.378818422,0.018694974,17q21.33,10
THEM4,3.790226039901841e-61,0.479216644,1.13398691368843e-08,1q21.3,1
RXRB,4.009503333096449e-61,0.285978189,3.2787260542479e-07,6p21.32,3
ZNF394,4.3237952874386725e-61,0.130782997,0.006013475,7q22.1,7
CASP3,5.183851957149639e-61,0.862853613,5.1594144925731495e-56,4q35.1,3
TJP1,5.762036058502891e-61,-0.681978263,1.09628922906971e-19,15q13.1,17
TBRG1,6.457139354448299e-61,-0.536437348,1.06793458535119e-21,11q24.2,3
TCF7L1,6.472304805916597e-61,0.481984785,5.84615941391601e-06,2p11.2,3
SFMBT2,6.982902336200038e-61,0.471186965,0.000121472,10p14,8
ADCK2,7.764671828436426e-61,0.59721745,2.01209221391718e-21,7q34,5
PHACTR2,7.864210932060503e-61,-0.605532336,2.73311832520532e-11,6q24.2,6
NIBAN2,7.967509416734458e-61,0.832722943,1.6277271712358801e-21,9q34.11,6
GSTM4,7.983269822123774e-61,-0.464589694,8.19106330368381e-06,1p13.3,1
SLC50A1,8.798693854695824e-61,1.772023983,3.03902666471285e-91,1q22,3
C16orf87,8.820446768202141e-61,0.731582094,8.52696115599214e-24,16q11.2,2
ZFAT,8.978602512831221e-61,0.463384335,9.07112669296154e-14,8q24.22,7
PLD1,9.804249777796258e-61,-0.314348096,0.002827891,3q26.31,11
ITK,1.0955803218056288e-60,1.156832904,8.41089947790793e-13,5q33.3,11
MFSD11,1.1144471711527568e-60,0.25940898,1.49366204720207e-05,17q25.1-q25.2,7
KAT7,1.1176515399792305e-60,-0.201546324,0.000502269,17q21.33,3
ZNF532,1.2013864923114735e-60,0.266286159,0.000664786,18q21.32,11
BCL2L1,1.2129503982081015e-60,0.196369825,0.002013133,20q11.21,5
DCP2,1.2305139816788583e-60,-0.130098277,0.042509976,5q22.2,2
HELZ,1.2346725527572868e-60,-0.267645155,0.000436388,17q24.2,21
CD6,1.3495878518764448e-60,1.819808886,8.12661039305535e-40,11q12.2,1
DIP2A,1.4449479770495192e-60,0.160877722,0.008208693,21q22.3,14
PIP4K2C,1.4578485854277572e-60,0.493888106,7.62231570027955e-14,12q13.3,8
MMUT,1.5057691620460546e-60,-0.226139403,0.000952284,6p12.3,5
CLDN5,1.5141612254535287e-60,-2.645660331,4.51705852781062e-40,22q11.21,1
RASGRP1,1.6587208111760312e-60,1.862843222,2.13307453135787e-39,15q14,5
RIN2,1.7888160222048476e-60,-0.157276212,0.047179759,20p11.23,8
FBN2,2.4084668775210142e-60,4.094190096,1.27707370252594e-74,5q23.3,13
PCDH18,2.4585163768374343e-60,-1.457572334,1.26124094533899e-20,4q28.3,9
ITGB4,2.5944376609285454e-60,0.517953806,0.000911358,17q25.1,13
CAAP1,2.6488688032646524e-60,0.163640497,0.023733341,9p21.2,1
GPC2,2.7993100718517165e-60,3.280658343,2.14154268994569e-75,7q22.1,7
GAL3ST4,2.924438298919291e-60,1.054291248,5.97102657181772e-28,7q22.1,3
NOTCH4,2.939820014612663e-60,-1.804031051,1.976304760651e-65,6p21.32,10
EPS15,3.307921743442832e-60,-0.350858668,5.4874318641171e-09,1p32.3,9
ANKRD46,3.4387199506735225e-60,-0.296614985,0.000449351,8q22.3,3
RAB1B,3.4957271579619635e-60,0.147876267,0.028847677,11q13.2,2
GAPVD1,3.5025721740350904e-60,-0.186139199,0.00379284,9q33.3,8
HACL1,3.654044783478624e-60,-0.645690159,8.27740114686376e-20,3p25.1,5
NCOR2,3.668641853866327e-60,0.194827575,0.007884994,12q24.31,10
ANLN,3.9992800965889324e-60,4.514856123,3.2739865043657296e-228,7p14.2,7
ARL13B,4.7495520657981976e-60,-0.245392158,0.003352328,3q11.1-q11.2,2
CD8B,5.334123773228536e-60,1.349250606,7.34676886135347e-15,2p11.2,1
LTBP1,5.557345755639285e-60,0.748540684,1.95811766779527e-11,2p22.3,18
LRP12,5.567398335602584e-60,0.720009673,3.698245649237271e-15,8q22.3,11
FAHD1,6.065209093160721e-60,0.521990466,2.04144870750408e-11,16p13.3,1
PDIA5,6.500188782258786e-60,1.24635151,3.79196974540218e-53,3q21.1,12
IFT52,6.52026103942689e-60,0.14086906,0.019345725,20q13.12,9
SYNC,7.062300838871248e-60,-1.880151197,6.90428978765651e-32,1p35.1,2
UBAP2,7.156194596353193e-60,0.807772906,1.1246516439682699e-34,9p13.3,7
HUS1,9.657774144208673e-60,0.469953971,1.25959948877779e-15,7p12.3,2
MAP3K7,1.0263774084810245e-59,0.263547714,3.94562684283923e-07,6q15,3
PTPRO,1.0658993854380372e-59,0.963522153,2.09604497542469e-12,12p12.3|12p13-p12,8
MED13L,1.154107776727842e-59,-0.975279288,6.15304593297222e-34,12q24.21,11
EHMT2,1.3315320242560698e-59,1.063854175,2.25168475660746e-54,6p21.33,2
CYYR1,1.5255753920780534e-59,-0.809685873,9.34276909201136e-09,21q21.3,2
SEMA5A,1.6797849488508613e-59,-2.123095144,2.11876248098066e-47,5p15.31,11
SLC1A5,1.7663186440316312e-59,0.480299415,8.80729760308733e-08,19q13.32,1
IL1RAP,1.7750254513819928e-59,0.23873198,0.046630314,3q28,8
PDK4,2.5482792836732888e-59,-4.343629483,1.01012960093637e-107,7q21.3,5
JMJD4,2.555605483850975e-59,1.480349093,1.16081832457691e-53,1q42.13,1
CUL1,2.7206704235235427e-59,0.39074589,3.3253003365901304e-15,7q36.1,8
RBM38,3.281874752551937e-59,1.473609843,6.66029953065731e-42,20q13.31,4
ZNF106,3.4117399966795994e-59,-1.536301262,1.24553368074556e-55,15q15.1,13
ARID1A,3.665105455634085e-59,0.192954579,0.001673758,1p36.11,39
SPATA6,3.9120741682229284e-59,-0.924495038,1.4115783309990398e-22,1p33,5
ZAP70,4.12321701583782e-59,1.515835271,3.1931266003287e-19,2q11.2,6
HIP1R,4.162826397804733e-59,0.497625252,4.91769959297114e-07,12q24.31,5
FAM167B,4.236387246475606e-59,0.684994249,2.12554423802929e-09,1p35.2,2
RAP2A,4.309127048329979e-59,0.808834867,7.60879478904675e-21,13q32.1,1
CTNNAL1,4.521772145534934e-59,-0.734237764,9.61009139506655e-12,9q31.3,4
WDR36,4.685431703375657e-59,-0.439716236,4.712277739460859e-16,5q22.1,4
KIFC2,7.030455593230363e-59,2.012207451,1.23566253907729e-46,8q24.3,2
ASPHD1,8.63959268664467e-59,2.229858578,3.8757280424060697e-29,16p11.2,2
NRN1,1.0452649899965365e-58,-1.478334915,2.41886327670201e-20,6p25.1,1
PLPP1,1.209336716208384e-58,-1.944105684,3.54268883016789e-66,5q11.2,3
TGM5,1.2572120790338923e-58,1.083548065,9.25236369233047e-07,15q15.2,6
SH3TC1,1.2900993334614552e-58,0.501650862,6.55196658300308e-06,4p16.1,8
MCM5,1.2930863129727233e-58,1.581374381,3.05176311998701e-94,22q12.3,1
PTHLH,1.3453023642006033e-58,-1.628327764,9.12066989063255e-11,12p11.22,2
MYD88,1.3983621051394691e-58,0.86561268,3.99406885519326e-44,3p22.2,1
TAB2,1.5499666360449332e-58,-0.144325037,0.020568309,6q25.1,4
ENC1,1.9622271738426847e-58,0.935298565,8.78868714193856e-18,5q13.3,3
HPS5,2.0474452851114167e-58,-0.32624264,1.22926780397368e-05,11p15.1,5
SLC35C2,2.147633864128232e-58,0.72165043,4.0978936522519e-29,20q13.12,2
FAM78B,2.292153993843058e-58,1.441117448,2.22060787299566e-18,1q24.1,2
MRGBP,2.330681953307028e-58,1.541075936,2.57836268074772e-120,20q13.33,3
SERTAD2,2.4145279431243847e-58,0.232145827,0.000212223,2p14,3
NF2,2.6459389582524077e-58,0.525748176,2.76671772508707e-16,22q12.2,4
NFE2L1,2.792951824360027e-58,-0.601264968,4.27070349468549e-12,17q21.32,10
EPS8L2,2.85155356547784e-58,0.974018234,1.03162424724194e-12,11p15.5,2
ITSN2,2.957438443588263e-58,-0.296877871,4.32446378310485e-05,2p23.3,12
TMEM241,3.033299427183151e-58,0.677073916,4.02456164587571e-15,18q11.2,2
PRSS22,3.3275410904717355e-58,1.680039282,1.26686304464155e-19,16p13.3,3
MICALL1,3.366829527965269e-58,0.989830899,1.3563272146883e-30,22q13.1,7
BANP,3.555793340094212e-58,0.788405626,9.60528886532882e-36,16q24.2,2
ADGRG6,3.831681154796277e-58,0.896180888,5.31967471883488e-14,6q24.2,6
CHST12,5.116630511895549e-58,0.219188931,0.007257421,7p22.3,2
LARP1B,7.215922035236411e-58,0.451629051,5.97588938260684e-12,4q28.2,4
CWC25,8.279918061688637e-58,-0.245565879,9.85638941423492e-07,17q12,3
KCNC3,9.561700408464186e-58,0.53398125,0.001407218,19q13.33,5
DENND2B,1.0211586745190084e-57,-0.358580867,0.000394849,11p15.4,8
N4BP2L1,1.0794146950675581e-57,-1.456006546,5.318588915262069e-49,13q13.1,1
BCL7B,1.1316081891187673e-57,0.202506253,0.004480805,7q11.23,2
CXCL11,1.1506780203859366e-57,4.673320644,1.15126422606166e-116,4q21.1,1
TMEM65,1.2755781902431233e-57,1.172549591,2.0373849790112602e-44,8q24.13,1
USP18,1.2783720125749182e-57,1.39026407,4.39343147292544e-33,22q11.21,1
NUP35,1.389949682065175e-57,0.375728301,3.07204970631309e-08,2q32.1,2
JAK2,1.3960667913083164e-57,-0.434518398,1.60587202567636e-05,9p24.1,10
YY1AP1,1.3968620989512652e-57,0.515728516,1.89428744437215e-21,1q22,7
CD200,1.4016871198303252e-57,-1.085045156,5.39271792005216e-31,3q13.2,3
IRF2BPL,1.4800355613419043e-57,-0.307521176,1.22674116447252e-05,14q24.3,2
PPP1R13L,1.634038142669374e-57,0.517505624,1.15953812677589e-05,19q13.32,2
TNS1,1.805818667518065e-57,-3.456921139,1.83485668416613e-127,2q35,7
PLEKHG4B,1.8207680564007385e-57,1.668912748,7.557224004160661e-21,5p15.33,11
ARHGAP35,2.114970108639164e-57,-0.477814104,5.5670710414561e-11,19q13.32,20
ADAMTS12,2.1590549423339085e-57,0.37653325,0.01319306,5p13.3-p13.2,9
RASSF5,2.5684640809829576e-57,0.655223596,6.6826518852932706e-09,1q32.1,7
RBM4,2.9183258089440824e-57,-0.238101669,0.000364617,11q13.2,3
LRFN4,3.2840558890683423e-57,2.18826391,1.93365363689513e-63,11q13.2,3
FNDC1,3.4443702485268635e-57,1.703656028,5.19314615057088e-16,6q25.3,15
MCAT,3.945948957474055e-57,0.746804909,5.107751253270541e-25,22q13.2,2
RYR1,4.051725998733845e-57,0.69436467,2.18071114344649e-05,19q13.2,42
PLK1,4.2029805838239895e-57,4.480432277,9.669030979687581e-305,16p12.2,6
PKP4,4.4856391853183874e-57,-0.188803158,0.00285069,2q24.1,13
MECOM,4.837625060385849e-57,-1.095970857,1.20379502735287e-13,3q26.2,13
SCAI,5.318429523671829e-57,-0.39939183,4.49322993567441e-06,9q33.3,6
NUB1,5.481726872818543e-57,0.233996666,6.91121156320295e-05,7q36.1,3
LDLRAD3,5.770388853452533e-57,0.648570205,2.0187761571438e-09,11p13,2
DDX54,5.841428029287439e-57,0.552553194,1.55607651745071e-12,12q24.13,2
CTLA4,5.89192934244289e-57,2.122077882,6.070390562355149e-34,2q33.2,2
FANCI,5.959286154259008e-57,2.406755625,2.70255608666494e-143,15q26.1,11
TANC1,6.355747682592033e-57,-0.342293509,2.49790160792402e-06,2q24.2,13
ASCC2,6.60185720819724e-57,0.504218053,7.447190432690571e-15,22q12.2,12
MAP2K7,6.829794401665269e-57,0.356147572,4.04100205145211e-08,19p13.2,2
TSPAN7,7.437716608076935e-57,-2.48336442,3.97313379970435e-54,Xp11.4,2
TIPARP,7.832821465744708e-57,-1.594278231,1.19709172800243e-47,3q25.31,5
SNAPC3,7.894651215729939e-57,0.408044441,5.44859040396942e-08,9p22.3,3
EAF1,8.899637487406909e-57,0.336814654,2.46953123622188e-08,3p25.1,2
GTPBP8,9.81730693469098e-57,0.439065256,4.4301873748565e-12,3q13.2,1
KLC3,9.997390753680973e-57,0.88412604,2.97094366879684e-06,19q13.32,3
MAP3K1,1.176586294748265e-56,-0.859546249,2.34794922164709e-16,5q11.2,85
HPSE,1.417042428061917e-56,1.27519899,8.61636689988023e-28,4q21.23,6
NUDT4,1.665296429453351e-56,-0.819392468,1.39013996896571e-28,12q22,1
NAV2,1.7849095063805072e-56,-0.774174011,2.57129323357607e-08,11p15.1,16
AGO1,1.826815892958553e-56,0.231216577,0.000119752,1p34.3,10
SLC36A4,1.9705491152867088e-56,0.942171101,4.6708548484510395e-28,11q21,2
CNIH2,2.2737003038822602e-56,4.363368371,6.013878902917841e-155,11q13.2,2
UGDH,2.5504840664125655e-56,-0.434767167,6.85956838731711e-06,4p14,1
VPS45,2.7088393072509567e-56,0.570848881,3.2092279676148704e-25,1q21.2,6
SETDB1,3.033122843144375e-56,0.651784024,2.01728284895723e-20,1q21.3,16
USP6NL,3.242885734461381e-56,0.782870449,1.76388413333063e-27,10p14,4
ANKRD16,3.723780238432068e-56,0.968174707,4.23005016926676e-32,10p15.1,3
ILK,4.097364156313108e-56,-1.370506544,1.97294956641139e-37,11p15.4,4
APOBEC3C,4.276019737543799e-56,-0.222947334,0.037134477,22q13.1,1
PSMF1,4.592161250045078e-56,0.238998824,1.01128712554614e-05,20p13,4
PLEKHM2,4.647297419286557e-56,0.259588347,0.000359854,1p36.21,2
KCNE4,4.82825513799164e-56,-0.383337279,0.015919764,2q36.1,1
CMYA5,5.24736240058786e-56,-2.487025907,1.44510127148973e-48,5q14.1,27
ZNF121,5.30054001983924e-56,0.873530496,4.816370672234641e-25,19p13.2,4
ETV6,5.557100567444837e-56,0.670862399,9.623129043100987e-11,12p13.2,7
ST3GAL5,5.842323568366806e-56,-0.567207764,5.58788577713951e-06,2p11.2,1
SC5D,6.230954903939533e-56,-1.046884871,5.89599840645977e-27,11q23.3-q24.1,3
LYAR,6.688684662700259e-56,1.016795091,2.16222939131412e-54,4p16.3,2
RMDN1,6.748951446943652e-56,-0.200138751,0.011110012,8q21.3,3
RB1CC1,7.782071908778504e-56,0.309234643,0.000177351,8q11.23,14
RNASEH2B,8.254651780767601e-56,0.280437895,1.6458394367815e-06,13q14.3,2
SOX11,8.299212516027923e-56,4.510945774,1.2126259845746e-87,2p25.2,1
RBBP5,9.038872639003927e-56,0.584555472,3.73627676308937e-26,1q32.1,3
UBE2Z,9.522256782875388e-56,0.339727368,2.20845871264745e-14,17q21.32,3
METRN,9.971198053563318e-56,1.26376547,9.00483376710035e-13,16p13.3,1
XKR9,1.0707659179131739e-55,1.8831416,2.49483787817414e-18,8q13.3,1
FNIP1,1.0847592213754672e-55,-0.842279446,5.03122345206714e-34,5q31.1,6
DDRGK1,1.0950864730177144e-55,0.595045199,1.0005763334551302e-09,20p13,2
CNOT9,1.1774508216266724e-55,1.077372756,5.18870798879529e-88,2q35,3
GALE,1.4126069841675527e-55,1.605456365,1.16005349438671e-42,1p36.11,2
RBL1,1.6692813419308498e-55,1.436621653,4.0034840614540405e-60,20q11.23,11
SERINC5,1.7015963824508626e-55,-0.258104068,0.002399518,5q14.1,6
CD300LF,1.7619761478910664e-55,1.442928929,1.3663615286157e-24,17q25.1,4
SH2D1A,1.8242828768955298e-55,1.546053795,4.1462726238589504e-19,Xq25,1
RCC1L,1.876275178623651e-55,0.389535122,1.31481967331578e-07,7q11.23,3
DOP1B,2.0732118248076512e-55,0.741843322,7.99550274665363e-16,21q22.12,12
PLEK2,2.2537693485812488e-55,1.734001113,2.88728653751775e-28,14q23.3-q24.1,3
MEI1,2.2719923793338348e-55,0.843582257,7.64193784933348e-08,22q13.2,9
DKK3,2.312261019756253e-55,-1.754832319,1.92552693764646e-42,11p15.3,4
GOLM2,2.3154984731505943e-55,-0.503665023,6.48568241729722e-15,15q15.3,3
ACOX1,2.3339007349812364e-55,-0.529233169,6.193560941795331e-09,17q25.1,5
SLC66A3,2.3788808988403568e-55,-0.450857921,1.44493352301831e-06,2p25.1,1
MAZ,2.8780123324419677e-55,1.185621625,1.60469976633684e-53,16p11.2,7
TIPIN,2.966970519438713e-55,1.132798373,1.79655495585269e-46,15q22.31,3
NXPE3,3.872618638906831e-55,-0.598385727,3.282958252196109e-11,3q12.3,2
SAFB2,3.918284961267788e-55,0.348598778,5.11541727819081e-08,19p13.3,8
NRAS,4.555910047962282e-55,0.832106756,2.39339371297525e-21,1p13.2,2
H2BC5,4.6088415779420745e-55,1.739602397,2.40085267048363e-30,6p22.2,2
CXXC5,4.6530397029791205e-55,-0.49758153,1.16967287570784e-05,5q31.2,1
FOXRED1,4.70249012554696e-55,0.507259189,1.9497356185118e-11,11q24.2,4
PAN3,4.736095387004149e-55,-0.425794578,1.1000199911851402e-09,13q12.2,3
ACVRL1,4.8156399782962075e-55,-0.994569714,1.59855857147676e-18,12q13.13,4
SRPX2,4.91801911492529e-55,-1.263520026,6.33032947504933e-14,Xq22.1,3
KCNS3,5.1895478797454434e-55,0.5574246,1.6682748226731e-05,2p24.2,4
VAV1,5.307826690016123e-55,0.886149069,7.126073063394299e-12,19p13.3,6
CREB3L1,6.290309145377636e-55,1.022427991,4.775654570517739e-13,11p11.2,2
ADIPOR2,6.4663237527196814e-55,-0.361166603,4.72144447415518e-05,12p13.33,2
SHFL,6.658726490996101e-55,0.575558373,3.43996930617616e-10,19p13.2,2
ERP27,6.874826088728004e-55,2.097832491,3.49690106288758e-29,12p12.3,2
F8,7.053207438161255e-55,-1.935745517,2.38415358416662e-72,Xq28,29
FCHO2,7.8877710094818e-55,-0.927744515,1.42540190241269e-35,5q13.2,4
POMGNT2,7.891254870450016e-55,0.2143991,0.000676139,3p22.1,4
PXMP4,8.433472889057119e-55,-0.722640932,1.34577391428879e-07,20q11.22,3
EVI5,1.0623095813896228e-54,-0.498747841,1.75257354031184e-13,1p22.1,7
GLCCI1,1.0758722084723001e-54,-0.681215187,5.80175110087465e-12,7p21.3,6
LGR4,1.0802933759148659e-54,-0.874749341,1.37157868697771e-13,11p14.1,7
USP53,1.1452020057141684e-54,-1.616392578,4.4484189834029504e-60,4q26,11
PCYT2,1.1674949259658444e-54,0.630360673,2.6472024045413403e-09,17q25.3,2
STX17,1.1998934704886003e-54,-0.36768387,1.28368438627386e-10,9q31.1,6
ADGRA2,1.240925343659976e-54,-1.679572758,4.34787637279169e-46,8p11.23,1
REPS1,1.488509354226567e-54,0.668268066,3.54219823808073e-22,6q24.1,4
E2F6,1.5027235430400732e-54,0.239570482,0.000236608,2p25.1,1
ACVR1,1.594568895850528e-54,-0.461824496,2.9237913290708495e-11,2q24.1,1
PDCD4,1.623460464492427e-54,-0.59794744,5.27318206393046e-08,10q25.2,6
ARHGAP24,1.6650187781276728e-54,-1.638631939,4.07664107512641e-65,4q21.23-q21.3,11
FAM210A,1.745066735358183e-54,0.640237312,6.44237744094135e-19,18p11.21,2
USP47,1.7920377896168275e-54,-0.41074748,1.94814769423014e-08,11p15.3,8
SDCBP2,1.812386148103376e-54,1.198721296,1.66584018289644e-18,20p13,4
OGFR,1.9067166022463375e-54,0.880053497,4.35980896891012e-20,20q13.33,1
FAM171A1,2.0001823390454208e-54,0.916912952,6.71607141874505e-20,10p13,12
IKBIP,2.142680320263012e-54,0.238356808,0.000865179,12q23.1,3
PHLDB1,2.2423408647937086e-54,-1.427644539,2.14990417187515e-34,11q23.3,10
SLC38A10,2.274310445107446e-54,0.368225607,2.81095412499275e-05,17q25.3,5
KHSRP,3.2318427912232604e-54,1.005306019,1.93363430067888e-64,19p13.3,3
QDPR,3.43468273294057e-54,-0.746563298,1.5201782932986799e-16,4p15.32,2
CARD8,3.4754030267984607e-54,-0.732407681,3.43166003559081e-26,19q13.33,5
KDM1A,3.5194416647845367e-54,0.963524278,6.16680367778535e-59,1p36.12,4
RTKN2,3.6312143224159217e-54,2.758314317,6.33206882744036e-107,10q21.2,2
RERE,3.6955504625180677e-54,-0.909387977,6.42532627865446e-53,1p36.23,8
DDX60,4.1397629597914327e-54,0.401054554,0.001700758,4q32.3,8
JOSD1,4.1600173981371017e-54,0.551453184,2.64307101010381e-29,22q13.1,2
NBN,4.4496718573034846e-54,0.491475894,1.06793362439514e-12,8q21.3,6
LEMD3,4.5466723228259026e-54,-0.174001563,0.007654559,12q14.3,2
RING1,4.6288620796070805e-54,0.221170053,0.000654947,6p21.32,2
EML3,4.7451966555819876e-54,-0.255742348,0.003026056,11q12.3,6
CADM4,4.9543970206804956e-54,0.942148332,6.00928228369823e-13,19q13.31,3
SLC20A2,4.9913348650848484e-54,0.346584335,4.57524355494943e-05,8p11.21,9
ZFP14,5.0166400437083757e-54,-0.422628837,2.89953035600045e-07,19q13.12,4
NTHL1,5.72363184845137e-54,1.165951242,1.05345374990074e-25,16p13.3,2
TRIM37,5.820737044124462e-54,0.546080047,4.560815580186131e-15,17q22,5
MAL,6.215221940884365e-54,0.963577922,5.82391307225078e-08,2q11.1,1
CAMSAP2,7.042129348973451e-54,0.176662708,0.021520145,1q32.1,12
CCR7,7.291257535517408e-54,2.051347842,8.55533025258318e-28,17q21.2,4
ENO2,7.993047532789444e-54,1.417662316,4.40004476018251e-24,12p13.31,1
ZSCAN18,1.0280023782127591e-53,-0.732948807,3.1368926883863704e-17,19q13.43,1
WNT2,1.1252780951696986e-53,0.915403945,2.77527847076291e-08,7q31.2,4
IER5L,1.1631891995565248e-53,1.756729494,1.5295411994003098e-43,9q34.11,1
ZNF579,1.3565524771580842e-53,1.202762329,3.30990167868132e-29,19q13.42,1
STX5,1.4063622034381036e-53,0.264450606,3.9966527803912e-07,11q12.3,3
RELA,1.498585564216266e-53,0.303526819,1.87163173375964e-11,11q13.1,2
SGPP1,1.4996263143324822e-53,-0.506282884,3.46411680887539e-07,14q23.2,4
C9orf78,1.5794207514004606e-53,0.22441462,5.72456402540749e-06,9q34.11,3
NT5E,1.6428664345984642e-53,-0.659060186,2.71832815165418e-05,6q14.3,6
NARS2,1.7133847118130462e-53,0.599258304,6.36347250543266e-16,11q14.1,6
LYRM1,1.9265701579475034e-53,-0.667875899,2.07389168333333e-16,16p12.3,1
SH3PXD2B,1.9864065957980206e-53,0.483851731,1.48481023265831e-09,5q35.1,11
AGPAT3,2.3551156190679423e-53,0.282760006,3.47588219720257e-05,21q22.3,3
GRAMD1A,2.5043934707717583e-53,1.166114538,1.13903457050666e-77,19q13.11,4
MTR,2.7250665034563553e-53,-0.166259297,0.028100951,1q43,10
SCRIB,2.751585086343442e-53,1.488666659,9.58545221699694e-51,8q24.3,7
NXT2,2.8185699937965543e-53,0.604888166,7.50212618919343e-13,Xq23,2
BIN2,3.197725589248842e-53,1.101803668,5.6568259373301504e-21,12q13.13,2
ADSL,3.465066647449652e-53,0.840476169,1.57274377748885e-34,22q13.1,6
STRN4,3.5615404546370542e-53,0.633840701,1.13378201547796e-28,19q13.32,3
ELOVL5,3.641638127970164e-53,-1.52900811,4.54892295435319e-49,6p12.1,6
SULF2,3.655069930589888e-53,0.888401118,4.0185426982348297e-13,20q13.12,8
TENT2,3.791843797398996e-53,-0.648778182,1.77096975987468e-40,5q14.1,3
TMEM30B,4.273549382302988e-53,-0.26940554,0.029513027,14q23.1,1
ARL4A,4.905269492227241e-53,-1.221890188,1.3802024701450002e-22,7p21.3,2
LY9,5.057499610020685e-53,0.922480565,8.25123246562429e-08,1q23.3,8
KLHL6,5.0799682161539235e-53,1.034632397,1.48771519718897e-13,3q27.1,6
GSAP,5.275327880570978e-53,-0.269188022,0.000387807,7q11.23,9
MYO1C,5.384271936160212e-53,-1.033550047,6.740645430226241e-23,17p13.3,5
SLC5A3,5.678275219687174e-53,-0.227328134,0.047992844,21q22.11,5
BEST4,5.8539161397947775e-53,0.412799964,0.012282104,1p34.1,2
PDE6D,6.278353243072048e-53,0.668166234,7.34181490126839e-38,2q37.1,1
PTP4A3,6.549977771049645e-53,1.908391096,3.41137788480983e-60,8q24.3,1
NBR1,6.651810967606381e-53,-0.90541091,4.9973586601825104e-68,17q21.31,5
KIFBP,7.025725517111124e-53,-0.251428792,1.83301249660732e-05,10q22.1,6
HMGCS1,7.695696861148423e-53,0.463674395,3.03841122030317e-05,5p12,8
OGT,8.026855854683113e-53,-0.286352362,0.000164454,Xq13.1,11
SNX12,8.544846760303821e-53,0.379789144,1.66000028951027e-16,Xq13.1,1
MIEF1,8.670024766778165e-53,0.215953034,7.90423375331327e-05,22q13.1,2
RABEPK,9.532241991044257e-53,0.404987983,7.05002709272475e-09,9q33.3,3
HVCN1,9.59350792669627e-53,0.44244974,7.82631228505753e-05,12q24.11,3
LONP2,9.681952034288016e-53,-0.526668402,1.20242278764474e-10,16q12.1,9
FAM107A,1.0025049377336705e-52,-0.948599747,9.91641609185331e-06,3p14.3-p14.2,1
TRPT1,1.0252389152625017e-52,0.312918834,0.000876411,11q13.1,1
RIPPLY3,1.038262378532888e-52,2.864285334,4.91554823535002e-50,21q22.13,1
SP140,1.0620470284259965e-52,1.918525944,1.0015875042106e-34,2q37.1,7
SLC39A3,1.0857448566182341e-52,1.099659356,3.92249649832578e-29,19p13.3,1
TRMT61B,1.1387149765098044e-52,0.129666554,0.042647432,2p23.2,5
PWWP2A,1.1509055897997689e-52,-0.152144901,0.001767892,5q33.3,3
AEN,1.1851368368649496e-52,0.82645285,2.20460715429016e-30,15q26.1,1
AKT1,1.2090807033813228e-52,0.445147045,1.9641426748111e-09,14q32.33,28
METTL27,1.531917475517244e-52,0.570612089,0.000298098,7q11.23,3
PTOV1,1.5429674677209317e-52,0.499603186,7.006116900704269e-11,19q13.33,2
DPH7,1.5850478787103277e-52,0.527722706,1.06297964627851e-15,9q34.3,3
SCYL2,1.6144100392244385e-52,0.380369804,2.50330814873632e-08,12q23.1,11
TRIM8,1.6396222129137748e-52,-0.639219055,3.19636398595813e-18,10q24.32,1
KCNK5,1.7112245802643457e-52,2.812756254,5.6444059941323e-70,6p21.2,4
TAF13,1.7537679612978206e-52,0.618669909,1.27034095835182e-14,1p13.3,2
MAPKAPK3,1.8333316994607654e-52,0.36656813,2.13309006646037e-06,3p21.2,2
DDX28,1.9008935001114637e-52,0.632132593,1.10669173688196e-21,16q22.1,1
RASGRP3,1.9331084313081348e-52,0.430336826,0.000149289,2p22.3,6
RNFT2,1.948280879296797e-52,2.783359581,1.24905296911448e-108,12q24.22,2
COQ8B,1.949788488252215e-52,0.378765222,1.56817278290516e-07,19q13.2,1
LEMD2,2.0027032537788096e-52,0.902139166,1.25525601436758e-54,6p21.31,3
OCLN,2.3652568786575055e-52,0.524501928,0.000489912,5q13.2,3
TMX3,2.591383484786849e-52,-0.195081226,0.0069527,18q22.1,4
CLCN7,2.624908483455901e-52,0.35515574,1.14990341198734e-06,16p13.3,6
MTMR14,3.056320640756098e-52,0.318479358,3.23927552620017e-10,3p25.3,6
EXOC1,3.169106353153416e-52,-0.285627028,5.14021116911695e-06,4q12,7
TGFB2,3.486418412866658e-52,0.457888304,0.00865215,1q41,1
BCL2L13,3.83297417356512e-52,-0.288675991,1.04645274317665e-05,22q11.21,3
ATAT1,4.0048832205389335e-52,0.866598805,1.08364256199083e-26,6p21.33,1
CEP128,4.053444503151711e-52,0.692536417,2.0324075279114e-15,14q31.1,9
CLDN10,4.347488567990168e-52,2.400062813,1.53789528318747e-13,13q32.1,4
