Gene,Chromosome Position,log2FoldChange,padj,Total_Mutations
CERCAM,9q34.11,0.68361313,1.86498054748949e-09,4
SEL1L,14q31.1,-0.463264776,2.14886818665567e-09,4
CDC37,19p13.2,0.480219666,2.16114498411665e-09,4
POFUT2,21q22.3,0.408340071,2.3130413319967603e-09,4
CD180,5q12.3,0.821449408,2.36247678341234e-09,4
SLC23A2,20p13,-0.402417938,2.4636951920842904e-09,4
AKAP8,19p13.12,0.271199316,2.9044865067762403e-09,4
SERPINA11,14q32.13,-1.968572707,3.03388650832289e-09,4
FN3K,17q25.3,0.591395406,3.04348737603169e-09,4
EHD3,2p23.1,-0.616972286,4.11364369687322e-09,4
CNPY2,12q13.3,0.486961985,4.1195769749795e-09,4
DYNC2LI1,2p21,-0.401573097,4.1642921050697e-09,4
SNF8,17q21.32,0.406757343,4.407699949572e-09,4
CSRNP2,12q13.12,0.364562315,4.54718157857912e-09,4
METAP1D,2q31.1,-0.424629916,5.262939215449611e-09,4
VNN1,6q23.2,1.16812885,5.45836700319402e-09,4
RABGEF1,7q11.21,0.447976558,5.46486934946961e-09,4
EPOR,19p13.2,-0.513327909,5.829410515005211e-09,4
SLC2A4RG,20q13.33,0.65742112,6.57679262405219e-09,4
NUMBL,19q13.2,0.58177195,7.13009741875427e-09,4
IFI35,17q21.31,0.709538165,8.701085582790471e-09,4
ATP5PB,1p13.2,0.354767918,9.7232606580078e-09,4
INTS11,1p36.33,0.393687345,1.00071858151212e-08,4
DIPK1C,18q22.3,1.287405103,1.00368772431818e-08,4
IQCE,7p22.3,0.450439067,1.02935468222188e-08,4
EEF1D,8q24.3,0.433048428,1.24522881416502e-08,4
ZNF501,3p21.31,-0.504182784,1.29392691429854e-08,4
CHRNA10,11p15.4,0.536615296,1.45207754383132e-08,4
PARGP1,10q11.22,-0.604834787,1.49102746341755e-08,4
ZNF329,19q13.43,-0.411999479,1.52301596135932e-08,4
UVRAG,11q13.5,-0.44877744,1.61248930080452e-08,4
NDUFAF5,20p12.1,0.357227562,1.63980300219262e-08,4
CEACAM1,19q13.2,0.95131884,1.80223453735176e-08,4
CNPPD1,2q35,0.348584694,1.94337704493452e-08,4
SLC6A12,12p13.33,0.982651468,2.08598298720565e-08,4
PICK1,22q13.1,0.474748242,2.14737495389079e-08,4
FBXO15,18q22.3,-0.795599069,2.35566351552284e-08,4
SETD3,14q32.2,-0.347810714,2.75279462215022e-08,4
WNT2,7q31.2,0.915403945,2.77527847076291e-08,4
TBCEL,11q23.3,-0.322484978,3.18992633112096e-08,4
RAB3IP,12q15,0.629665755,3.30019539887538e-08,4
ARFRP1,20q13.33,0.55072933,3.36096462727837e-08,4
ANKZF1,2q35,0.34197459,3.49674101933753e-08,4
METTL5,2q31.1,0.418673001,3.82185214720317e-08,4
TPST2,22q12.1,-0.548575666,4.04220001244694e-08,4
GABRE,Xq28,-1.163356246,4.10808582864595e-08,4
TRMT11,6q22.32,0.388900133,4.50782246755815e-08,4
EDN3,20q13.32,-1.776670619,4.79347098107348e-08,4
FRK,6q22.1,0.677166076,5.14013376109302e-08,4
TADA3,3p25.3,0.330420834,5.35230073171584e-08,4
MYSM1,1p32.1,-0.479923929,5.97462896358331e-08,4
CUX2,12q24.11-q24.12,-1.531784612,5.98250527130427e-08,4
RHBDD1,2q36.3,-0.289624851,6.69194946393791e-08,4
ZNF76,6p21.31,0.304426111,7.1177892815648e-08,4
DNAJC11,1p36.31,0.348534594,7.26997973736738e-08,4
TNFAIP2,14q32.32,0.717614015,7.88762046385673e-08,4
OR51E1,11p15.4,-0.996071408,7.94255155406533e-08,4
TNIP1,5q33.1,-0.526929247,9.33869687953461e-08,4
C1GALT1C1,Xq24,0.361711204,1.00097202341647e-07,4
NOP14,4p16.3,0.299647286,1.01843228696386e-07,4
USP43,17p13.1,0.855895611,1.12353830640279e-07,4
PTPN11,12q24.13,-0.466187945,1.17754557361093e-07,4
BTBD11,,-0.914929638,1.20588764579546e-07,4
PEG10,7q21.3,1.130126309,1.40710174164184e-07,4
IGLL5,22q11.22,1.441724168,1.55735033349682e-07,4
IGHM,14q32.33,1.318018098,1.65261581768239e-07,4
ACHE,7q22.1,0.840972692,1.79258337194747e-07,4
IPPK,9q22.31,0.454581685,1.81306089367523e-07,4
DLL1,6q27,-0.665767028,1.81324354359572e-07,4
C9orf72,9p21.2,-0.4464218,1.83892019916512e-07,4
SPOPL,2q22.1,-0.43753129,2.06522213694833e-07,4
SLC26A2,5q32,0.759928673,2.22216024606248e-07,4
LONRF1,8p23.1,-0.466147018,2.23506418605202e-07,4
COMMD9,11p13,0.419181955,2.38002572990156e-07,4
GFRA2,8p21.3,-1.167086132,2.63327522864153e-07,4
LIMK2,22q12.2,0.478005215,2.8632010379188e-07,4
ZFP14,19q13.12,-0.422628837,2.89953035600045e-07,4
HSPA9,5q31.2,0.314888126,3.06930265768107e-07,4
ELOVL3,10q24.32,-1.167916095,3.16648963996836e-07,4
TES,7q31.2,0.427773024,3.3743423154563e-07,4
SGPP1,14q23.2,-0.506282884,3.46411680887539e-07,4
REPS2,Xp22.2,-0.490443643,3.48742955138129e-07,4
PAK6,15q15.1,0.75471745,3.50271622022238e-07,4
HAVCR2,5q33.3,0.649149316,3.54472638648121e-07,4
CEP97,3q12.3,0.404115532,3.72669276529971e-07,4
TRMT5,14q23.1,-0.247494897,3.74288888526633e-07,4
RBMXL1,1p22.2,-0.3196347,3.75576442619124e-07,4
DSG1,18q12.1,1.659073451,4.14713075979252e-07,4
ZNF583,19q13.43,-0.420621736,4.20922399048565e-07,4
SORBS3,8p21.3,-0.437422115,4.23064920072761e-07,4
BRF1,14q32.33,0.383645091,4.51534426905974e-07,4
CLDN8,21q22.11,-1.341744408,4.56120917605515e-07,4
TJP2,9q21.11,-0.559292543,5.325090164651e-07,4
TMEM242,6q25.3,-0.298307618,5.5560183077615e-07,4
TXNL1,18q21.31,0.341075349,5.61932282846492e-07,4
PLCXD1,X;Y,0.560322873,5.83829179593905e-07,4
RHOC,1p13.2,0.483146318,6.50309058158155e-07,4
PM20D2,6q15,0.615827055,6.5287655831761e-07,4
FST,5q11.2,-0.763699482,6.61452821854733e-07,4
RSPH3,6q25.3,-0.330828027,6.68472612392454e-07,4
VPS16,20p13,0.32509901,6.73061282498611e-07,4
LGALSL,2p14,0.45332316,6.94213119207673e-07,4
MANSC1,12p13.2,0.579435038,6.96231197016886e-07,4
SLC25A43,Xq24,0.390856145,7.11453236865908e-07,4
CREM,10p11.21,0.341326785,7.58058592508965e-07,4
MUC3A,7q22.1,-0.850862965,7.63780500621156e-07,4
NAB2,12q13.3,0.436997668,7.98723093804292e-07,4
VPS35,16q11.2,0.321762253,8.0435261952341e-07,4
PTPRR,12q15,0.975394722,8.64781372530915e-07,4
DHRS9,2q31.1,-1.118617055,9.8268808939512e-07,4
UQCRC2,16p12.2,-0.362176952,1.02213320140194e-06,4
POC5,5q13.3,-0.26324372,1.35124484415991e-06,4
ODF2L,1p22.3,0.342779046,1.3626625663121e-06,4
CD2AP,6p12.3,0.416050593,1.40129289794831e-06,4
LRRFIP2,3p22.2,0.356268949,1.4902496896523e-06,4
RAD51C,17q22,0.422827977,1.52139121425535e-06,4
RAB4B,19q13.2,0.651073106,1.52139121425535e-06,4
GALNT3,2q24.3,0.717044426,1.5580195621876e-06,4
ADAMTS6,5q12.3,0.620342069,1.68556495205209e-06,4
DHRS2,14q11.2,-1.666970463,1.69010414363054e-06,4
TRAF3IP1,2q37.3,-0.25247297,1.69075999731478e-06,4
DZIP1,13q32.1,0.545188635,1.70031981454079e-06,4
POU2F1,1q24.2,0.296032478,1.80189463486887e-06,4
PDE9A,21q22.3,0.730848063,1.83690238541948e-06,4
EVI5L,19p13.2,0.403147713,1.87029612217877e-06,4
METRNL,17q25.3,0.650060295,1.89723343026051e-06,4
YY2,Xp22.12,0.428019469,1.97127293932988e-06,4
RAB14,9q33.2,-0.272284684,1.9871464096259e-06,4
FAM98C,19q13.2,0.389007181,2.10635182002625e-06,4
SMAP1,6q13,0.408633356,2.29102080610437e-06,4
IL3RA,X;Y,-0.535135202,2.55526112730055e-06,4
STAU2,8q21.11,0.391027669,2.67153366099465e-06,4
NLK,17q11.2,0.289714324,2.789558668474e-06,4
ZNF33B,10q11.21,-0.448893998,2.91991912991425e-06,4
COQ6,14q24.3,-0.314463531,2.93562961795638e-06,4
PLXDC1,17q12,-0.577037788,2.94845451498982e-06,4
C6orf89,6p21.2,-0.264208578,2.96001277624555e-06,4
CSGALNACT2,10q11.21,0.330619462,3.05914659483165e-06,4
TBP,6q27,0.252864048,3.54711735717696e-06,4
SLC35B3,6p24.3,0.304294572,4.12060853796128e-06,4
MRGPRX3,11p15.1,-1.283573696,4.18947736371507e-06,4
ZNF79,9q33.3,-0.26650013,4.26933689487852e-06,4
PCGF6,10q24.33,0.336498366,4.96490136303134e-06,4
CLEC10A,17p13.1,-0.872156406,4.99836059541428e-06,4
ACOT11,1p32.3,0.687059996,5.11993498625335e-06,4
PDPK1,16p13.3,-0.246377838,5.2806684338522e-06,4
RAB29,1q32.1,0.379462236,5.32041349607122e-06,4
CRTC3,15q26.1,-0.263334672,5.44734151208583e-06,4
POLDIP3,22q13.2,0.298419792,6.02409501610459e-06,4
SUDS3,12q24.23,0.266978125,6.03097888560237e-06,4
COL21A1,6p12.1|6p12.3-p11.2,-0.722311571,6.37465863303339e-06,4
KCNJ14,19q13.33,0.47190008,6.63652457971264e-06,4
NSFL1C,20p13,0.268117701,6.79293654119871e-06,4
DZIP1L,3q22.3,-0.54464292,6.85503360345308e-06,4
MFF,2q36.3,0.248032124,7.21314699935442e-06,4
COG8,16q22.1,-0.222041672,7.88243301897838e-06,4
GNAT2,1p13.3,0.532590357,7.9698881961928e-06,4
PCTP,17q22,0.373397354,7.97598570899127e-06,4
ADGRG5,16q21,0.82566065,8.20468009086598e-06,4
TTC16,9q34.11,0.669491984,9.05138052631779e-06,4
NR2C2,3p25.1,-0.354591446,9.24579060805292e-06,4
PSMF1,20p13,0.238998824,1.01128712554614e-05,4
RAP1GDS1,4q23,0.281905837,1.0130172398952e-05,4
ERCC1,19q13.32,0.297833926,1.11488788856809e-05,4
MAP4K3,2p22.1,-0.299997875,1.12545479670017e-05,4
ZKSCAN8,6p22.1,-0.387639038,1.13702792646262e-05,4
SDAD1,4q21.1,0.253997604,1.20626864029995e-05,4
PDE4A,19p13.2,-0.515667584,1.22738964334918e-05,4
SPHK2,19q13.33,0.359275204,1.22977837179114e-05,4
OTUD5,Xp11.23,0.216048607,1.32738299610259e-05,4
RPAP3,12q13.11,0.251242397,1.41734312860551e-05,4
PSMD6,3p14.1,0.210362403,1.43546817960868e-05,4
FAM102A,,0.397448415,1.57761394193355e-05,4
METTL9,16p12.2,0.237636877,1.62476673479073e-05,4
ZNF10,12q24.33,-0.405443252,1.64798547344672e-05,4
KCNS3,2p24.2,0.5574246,1.6682748226731e-05,4
TRIM17,1q42.13,0.737327333,1.67186344554663e-05,4
NTM,11q25,-0.681543623,1.67558763224453e-05,4
SYS1,20q13.12,-0.229220002,1.77209838843657e-05,4
PSMC6,14q22.1,0.228990155,1.7890561946739e-05,4
VGLL4,3p25.3-p25.2,0.348259806,1.89077960356076e-05,4
PTDSS2,11p15.5,0.352040377,1.89789044409749e-05,4
MRPL45,17q12,-0.262198858,1.92661319175397e-05,4
L2HGDH,14q21.3,0.402862324,1.93254743893613e-05,4
KLK1,19q13.33,0.898302058,1.94830339870785e-05,4
MN1,22q12.1,-0.660016672,2.0160043107718e-05,4
MEST,7q32.2,-0.83705112,2.02197851248223e-05,4
RBM15B,3p21.2,0.190301524,2.19146666143732e-05,4
BTBD10,11p15.3,0.238089897,2.21400000633492e-05,4
SLC4A8,12q13.13,-0.774592896,2.22757952125025e-05,4
PPM1H,12q14.1-q14.2,0.600436741,2.3392728531174e-05,4
CCDC186,10q25.3,-0.368361154,2.51539166593806e-05,4
EHBP1L1,11q13.1,0.471336363,2.64673601864428e-05,4
RNF146,6q22.33,-0.251451615,2.70329027241156e-05,4
ANXA4,2p13.3,0.278977877,2.74180967084654e-05,4
EFS,14q11.2,0.404747137,2.80612779669931e-05,4
PPM1J,1p13.2,0.640850003,2.82925064197081e-05,4
POMGNT1,1p34.1,0.237587482,2.94969132779081e-05,4
SLC45A1,1p36.23,-0.487586926,2.9585484252639e-05,4
EOLA1,Xq28,0.286521345,3.26076269335819e-05,4
CREB3L4,1q21.3,0.565925507,3.26651447501478e-05,4
SLC39A14,8p21.3,0.433355373,3.44657074224459e-05,4
ARMH3,10q24.32,-0.171539808,3.53291749544358e-05,4
TAX1BP1,7p15.2,0.255305376,3.66922316194155e-05,4
LGALS4,19q13.2,-0.65800135,3.78631368900599e-05,4
FASTKD5,20p13,0.269109943,3.98425448373479e-05,4
TUBE1,6q21,-0.291839674,4.19488837404734e-05,4
ZNF182,Xp11.23,-0.214848832,4.44758652502509e-05,4
RIC3,11p15.4,-0.902207789,4.44758652502509e-05,4
PNLDC1,6q25.3,1.119950633,4.49690425188375e-05,4
FAHD2A,2q11.1,0.309751491,4.60260034683087e-05,4
FOXO3,6q21,-0.357002966,4.69383785789032e-05,4
PPARA,22q13.31,-0.439220957,4.71371974707966e-05,4
ATL1,14q22.1,-0.424687692,4.99110476558887e-05,4
UHRF2,9p24.1,0.316087386,5.10722026588827e-05,4
SCARB1,12q24.31,0.447743953,5.14678524310529e-05,4
TMEM260,14q22.3,-0.242386482,5.29331256711087e-05,4
PDHA1,Xp22.12,0.384975538,5.37609310059046e-05,4
WDR82,3p21.2,-0.162263941,5.77803166195798e-05,4
ITGA5,12q13.13,0.48747088,5.79103024585598e-05,4
NIPAL1,4p12,0.612663454,5.97283137467866e-05,4
CCDC144B,,-0.812953374,6.20617217305751e-05,4
PAAF1,11q13.4,-0.268652654,6.55576543575173e-05,4
TMEM200A,6q23.1,0.536350037,6.70857175708198e-05,4
CCDC151,,0.611217292,6.8565706407321e-05,4
PANK3,5q34,-0.318563075,7.15248704083499e-05,4
RALBP1,18p11.22,0.285430634,7.36178731499118e-05,4
PGBD2,1q44,0.305278724,7.43594032705694e-05,4
ZNF45,19q13.31,-0.278734554,7.93626001973922e-05,4
GNA13,17q24.1,0.278247033,8.16587542798171e-05,4
CHPT1,12q23.2,-0.435139532,8.24854476113608e-05,4
WHRN,9q32,0.460663944,8.29699147561739e-05,4
GPT,8q24.3,-0.798393106,8.71659141231805e-05,4
DNPEP,2q35,0.232071736,8.71866686341354e-05,4
MIER2,19p13.3,0.25089125,8.93713597406388e-05,4
TBKBP1,17q21.32,-0.376797537,9.07673345835743e-05,4
FAM20B,1q25.2,0.284628433,9.18821834101296e-05,4
CASKIN2,17q25.1,-0.306097873,9.42078896316416e-05,4
SPNS3,17p13.2,0.581436494,9.75386695922567e-05,4
BTN2A1,6p22.2,0.217653397,0.00010104,4
BCR,22q11.23,0.245235167,0.000111923,4
CYTH4,22q13.1,0.526835112,0.000115083,4
USE1,19p13.11,0.3625848,0.000118202,4
SLC22A18,11p15.4,0.483052328,0.000122105,4
STRADA,17q23.3,-0.343687972,0.000130332,4
DGKA,12q13.2,0.414971595,0.000131338,4
UGT2B7,4q13.2,1.143674366,0.000133777,4
HLA-E,6p22.1,-0.359640023,0.000136555,4
OPA3,19q13.32,0.205176265,0.000137566,4
MPPED2,11p14.1,-0.769528882,0.000140472,4
PHLDB3,19q13.31,0.467907483,0.000141193,4
SEMA4B,15q26.1,0.512117569,0.000149979,4
VSIG4,Xq12,-0.712659681,0.00015086,4
PSEN2,1q42.13,0.371894342,0.00015938,4
APPL1,3p14.3,-0.244252857,0.00018145,4
SLC16A5,17q25.1,-0.42545487,0.00019586,4
GOLGA5,14q32.12,0.206359567,0.000202233,4
ZNF600,19q13.41,0.254592472,0.000202233,4
C12orf66,,-0.226985704,0.000214776,4
CLCNKB,1p36.13,-0.672163847,0.000216898,4
GPATCH3,1p36.11,0.246917089,0.000222044,4
MTMR11,1q21.2,0.410489428,0.000237091,4
TUBA3D,2q21.1,-0.659855911,0.00024495,4
IFFO1,12p13.31,-0.4295421,0.000247769,4
CDC42BPG,11q13.1,0.549616784,0.000267971,4
POGLUT3,11q22.3,-0.349702207,0.00026908,4
IQCD,12q24.13,0.389827302,0.000272832,4
SEMA4G,10q24.31,0.471463699,0.000288038,4
VDAC2,10q22.2,0.27039037,0.000291719,4
TRIM45,1p13.1,0.427281807,0.000315735,4
DDX47,12p13.1,-0.39053189,0.000326117,4
RALGPS1,9q33.3,-0.348472047,0.000341192,4
ACSM4,12p13.31,0.614218965,0.000351942,4
RPLP0,12q24.23,0.321718231,0.000353308,4
FAM221A,7p15.3,-0.403457812,0.000363293,4
ST3GAL1,8q24.22,0.378871059,0.000364617,4
LTA4H,12q23.1,-0.214652687,0.000367528,4
KIF3A,5q31.1,-0.300359572,0.000369477,4
CDK10,16q24.3,0.298222535,0.000408334,4
SNAI3,16q24.2,0.509517145,0.00040962,4
UBXN2A,2p23.3,0.219549881,0.000431477,4
C1orf116,1q32.1,0.71811733,0.000444373,4
HRH1,3p25.3,-0.448624097,0.000462204,4
ETF1,5q31.2,-0.197928842,0.00048806,4
TBC1D24,16p13.3,0.313855862,0.000490693,4
PIP5K1C,19p13.3,0.207093295,0.000495035,4
ZNF792,19q13.11,-0.266735438,0.000525518,4
DYRK1B,19q13.2,0.321430999,0.000551289,4
UTP15,5q13.2,-0.178192408,0.000553951,4
ETNK1,12p12.1,0.294534003,0.000568001,4
LMBR1L,12q13.12,-0.21128315,0.000598388,4
RFFL,17q12,0.23073118,0.000611387,4
IGHV3-53,14q32.33,0.877308182,0.000656408,4
POMGNT2,3p22.1,0.2143991,0.000676139,4
RPL7,8q21.11,0.287409814,0.000686092,4
TLR1,4p14,0.401731752,0.000689132,4
ZNF793,19q13.12,0.405386406,0.000698804,4
PCDH7,4p15.1,-0.496234814,0.000718502,4
GATB,4q31.3,-0.253956942,0.000728789,4
C2orf49,2q12.2,-0.215945067,0.00072945,4
KLHL18,3p21.31,0.172562865,0.000734949,4
XCL1,1q24.2,0.53743908,0.000745063,4
RNF135,17q11.2,-0.227311227,0.000747297,4
PRR5L,11p13-p12,0.407872416,0.000748126,4
CERK,22q13.31,0.250751256,0.000763158,4
CLEC12A,12p13.31-p13.2,0.639242113,0.000822305,4
IPP,1p34.1,-0.223217184,0.000822732,4
ZNF678,1q42.13,0.266672984,0.000842057,4
EIF4G2,11p15.4,0.208215921,0.000844017,4
FAF2,5q35.2,0.177817506,0.000871609,4
PSD,10q24.32,0.511396112,0.000890767,4
PRORP,14q13.2,-0.200903839,0.000894948,4
ZNF443,19p13.2,0.288178593,0.00091718,4
NPTXR,22q13.1,0.507672664,0.000934518,4
IL17B,5q32,-0.93051876,0.000972383,4
AHCYL2,7q32.1,-0.271495736,0.000981663,4
CLU,8p21.1,-0.601022962,0.00105442,4
ENOSF1,18p11.32,-0.268581224,0.001085283,4
SERPINB9,6p25.2,0.355401102,0.001100428,4
ATRAID,2p23.3,0.238770681,0.001110966,4
FZD10,12q24.33,0.667641775,0.001128401,4
IGSF11,3q13.32,0.611616772,0.001131346,4
STARD3,17q12,0.266532368,0.001184429,4
RCL1,9p24.1,0.283567144,0.001204694,4
ACOXL,2q13,-0.366600547,0.001244451,4
TUBB2B,6p25.2,0.769358088,0.001250794,4
SYVN1,11q13.1,0.176919331,0.001278138,4
CAMK2B,7p13,-0.760427466,0.001342163,4
DEAF1,11p15.5,0.28255128,0.001350657,4
HAAO,2p21,-0.448679831,0.001397194,4
TPCN2,11q13.3,-0.213653935,0.001471087,4
POLR3E,16p12.2,0.166861137,0.001613798,4
FOXJ3,1p34.2,-0.170970466,0.001628239,4
CEP85L,6q22.31,-0.35153782,0.001689493,4
SPTLC3,20p12.1,-0.366686211,0.001779498,4
APOL6,22q12.3,-0.454958423,0.001782571,4
CBX5,12q13.13,0.263399165,0.001837158,4
MRPL46,15q25.3,0.282390273,0.001892504,4
ZDHHC8,22q11.21,0.274471891,0.001909078,4
ACTR1A,10q24.32,0.201902112,0.001922832,4
PLEKHA1,10q26.13,0.265791107,0.00198217,4
GATA2,3q21.3,-0.578856866,0.002020221,4
POLR3B,12q23.3,0.190936723,0.002116033,4
MARK3,14q32.32-q32.33,0.142247103,0.002233415,4
ACRBP,12p13.31,0.318288637,0.002286662,4
OSGIN2,8q21.3,0.313549818,0.002309386,4
SNX16,8q21.13,0.270239225,0.002404091,4
TMX1,14q22.1,0.196471259,0.002461634,4
RIOX2,3q11.2,0.20025362,0.002504908,4
ZNF277,7q31.1,-0.180963077,0.002541465,4
CCDC159,19p13.2,-0.29627941,0.002576123,4
ETFB,19q13.41,-0.424466046,0.002737791,4
FARS2,6p25.1,0.187312556,0.002778823,4
AKTIP,16q12.2,-0.214295245,0.002841018,4
RNF215,22q12.2,0.206043905,0.002881802,4
GXYLT2,3p13,0.369089951,0.002896751,4
RPRD1B,20q11.23,0.183239763,0.002898293,4
VEZT,12q22,-0.162636791,0.002953125,4
TMEM163,2q21.3,-0.437033106,0.002988661,4
TIAL1,10q26.11,0.149363856,0.002993762,4
TSPAN32,11p15.5,0.439861161,0.003304741,4
SLC35F5,2q14.1,-0.20135391,0.003350509,4
NCKAP5L,12q13.12,-0.228071661,0.003370667,4
WDR26,1q42.11-q42.12,0.179551966,0.003421171,4
ACTN1,14q24.1|14q22-q24,0.294741624,0.003443708,4
MIB2,1p36.33,0.328044892,0.003875191,4
TRAPPC12,2p25.3,0.173835228,0.003903515,4
RAP1GAP,1p36.12,0.490131951,0.00403148,4
GLP1R,6p21.2,0.725128133,0.004110864,4
CNNM4,2q11.2,0.278784286,0.00413105,4
OXGR1,13q32.1,0.666583639,0.004181451,4
ARFGAP2,11p11.2,0.159207346,0.004239822,4
ARMC9,2q37.1,0.247050245,0.004468359,4
PNRC1,6q15,-0.214380363,0.004520168,4
TNFRSF8,1p36.22,-0.429433179,0.004542111,4
LOXL4,10q24.2,0.612316402,0.004567206,4
CXorf21,,0.372435096,0.004822701,4
MMP2,16q12.2,-0.396890921,0.004921371,4
THNSL2,2p11.2,-0.310218398,0.005028975,4
CLTRN,,0.422125729,0.005077845,4
CCNB1IP1,14q11.2,0.259213612,0.005260674,4
AZI2,3p24.1,-0.218137951,0.005313731,4
TRIM5,11p15.4,-0.235015674,0.005376809,4
PI15,8q21.13,-0.791337658,0.005456188,4
NAP1L1,12q21.2,0.185858621,0.005561439,4
DCLK3,3p22.2,0.430039971,0.005564609,4
DGCR2,22q11.21,0.173926731,0.005582556,4
AASDHPPT,11q22.3,0.158990317,0.005643919,4
TNFRSF11A,18q21.33,0.427087747,0.005654718,4
SPATA5L1,,0.1736365,0.005668519,4
HOXA1,7p15.2,0.368428112,0.005724609,4
NFIB,9p23-p22.3,-0.321642905,0.005885147,4
HHAT,1q32.2,-0.297534096,0.005982235,4
DCUN1D2,13q34,0.275883389,0.006146847,4
CBFA2T2,20q11.21-q11.22,0.169625371,0.006340251,4
ST7,7q31.2,0.18006457,0.006669072,4
PIBF1,13q21.33-q22.1,-0.192971586,0.006712594,4
FAM107B,10p13,-0.271730552,0.006752489,4
TXLNB,6q24.1,0.428781331,0.006822677,4
TMX3,18q22.1,-0.195081226,0.0069527,4
NPIPB15,16q23.1,0.627742975,0.00724248,4
MEF2A,15q26.3,-0.245812078,0.007937984,4
SREBF1,17p11.2,0.300008401,0.008329238,4
SLF2,10q24.31,-0.172359202,0.008397899,4
NDUFV3,21q22.3,0.184612721,0.008887937,4
KRT14,17q21.2,-0.8372036,0.008922182,4
SOX10,22q13.1,0.698966175,0.008954291,4
C1GALT1C1L,2p21,-0.392172675,0.008994778,4
ASIC1,12q13.12,0.389133938,0.009032005,4
NAXD,13q34,0.222678361,0.009484881,4
SECISBP2,9q22.2,-0.165971368,0.010088683,4
TMEM87A,15q15.1,-0.199403027,0.010263063,4
FZD5,2q33.3,-0.342895543,0.010286457,4
IFT81,12q24.11,0.223224807,0.010462504,4
SCRN1,7p14.3,0.27294656,0.010509454,4
C1QTNF2,5q33.3,-0.505935691,0.010704789,4
PSMD5,9q33.2,0.172707168,0.010986715,4
WDR81,17p13.3,-0.201222612,0.011062397,4
VPS26C,21q22.13,0.134545872,0.011287965,4
IDH3A,15q25.1,-0.223127988,0.011311645,4
ZNF821,16q22.2,0.191773559,0.011322051,4
XCR1,3p21.31,0.486146107,0.011457897,4
PRKAR2A,3p21.31,-0.203618035,0.011586387,4
TMED8,14q24.3,-0.161446573,0.013181598,4
PAPOLG,2p16.1,0.152584911,0.013188725,4
AP3B2,15q25.2,0.456294552,0.013224564,4
NUCB2,11p15.1,0.245363219,0.013483575,4
CPNE3,8q21.3,0.191358951,0.014478859,4
ZNF169,9q22.32,-0.20155119,0.014620438,4
LARP4,12q13.12,0.170895501,0.014850659,4
ZNF107,7q11.21,0.269659142,0.014982757,4
HOXC4,12q13.13,0.268457684,0.014993589,4
FNBP1L,1p22.1,0.187996584,0.01576488,4
TMEM120A,7q11.23,-0.271673702,0.016097666,4
TSPAN1,1p34.1,-0.560369235,0.016337904,4
GPR83,11q21,0.557908878,0.016730082,4
CFAP221,2q14.2,0.474972542,0.017033439,4
KYAT3,1p22.2,-0.174258123,0.017151325,4
C1orf220,1q25.2,0.33039799,0.017195943,4
LPCAT4,15q14,-0.195695695,0.017944511,4
PNPLA8,7q31.1,-0.159546656,0.017995029,4
CEACAM5,19q13.2,0.802228621,0.018063902,4
DHRS4L2,14q11.2,-0.235489553,0.018785638,4
HNRNPH1,5q35.3,0.127730415,0.018823771,4
UPF3A,13q34,0.175168071,0.019435361,4
MNT,17p13.3,0.118309428,0.019476215,4
ZNF117,7q11.21,-0.325634461,0.019570682,4
ADGRE4P,19p13.2,-0.389049166,0.02047505,4
TAB2,6q25.1,-0.144325037,0.020568309,4
PKNOX1,21q22.3,0.090960781,0.020696658,4
NRF1,7q32.2,0.075496728,0.020835561,4
SPATA13,13q12.12,-0.229064551,0.021035178,4
CRACDL,2q11.2,-0.274786848,0.021395043,4
ABHD18,4q28.2,-0.160695935,0.021982316,4
TAS1R1,1p36.31,0.433530164,0.022428731,4
CLUL1,18p11.32,0.433519642,0.023378364,4
TMEM80,11p15.5,-0.169844665,0.023733939,4
C16orf70,,0.108960305,0.024814959,4
C4BPB,1q32.1,-0.513827588,0.025174442,4
NADK2,5p13.2,-0.151068912,0.025591981,4
VPS4A,16q22.1,0.140006089,0.026368086,4
TMEM120B,12q24.31,-0.195516487,0.026504074,4
CCL13,17q12,-0.535921114,0.027323123,4
GOPC,6q22.1,0.127309664,0.028788524,4
HS6ST3,13q32.1,0.606378851,0.028975262,4
TUBA1A,12q13.12,0.222824013,0.030173829,4
SUPT20H,13q13.3,0.127485811,0.030865953,4
TNFRSF1B,1p36.22,-0.263863945,0.031106809,4
LIMS1,2q12.3,0.175868902,0.031341638,4
PLXDC2,10p12.31,-0.221837797,0.031468699,4
CFAP53,18q21.1,-0.247637498,0.031807353,4
RYBP,3p13,-0.128404195,0.032339521,4
SKI,1p36.33-p36.32,-0.169268632,0.032449895,4
IL22RA2,6q23.3,0.55117037,0.033756185,4
ELP5,17p13.1,0.131962615,0.034616153,4
ZNF266,19p13.2,-0.155936262,0.035156393,4
FAM126B,,-0.175754546,0.036331996,4
SLC25A53,Xq22.2,0.177609085,0.036787349,4
PMEPA1,20q13.31,0.286498146,0.038076944,4
MALT1,18q21.32,0.144364589,0.03833955,4
ZNF507,19q13.11,-0.155247145,0.038395598,4
SSC4D,7q11.23,0.272231318,0.039042528,4
ANKRD52,12q13.3,0.149589507,0.039170545,4
CCRL2,3p21.31,-0.2757212,0.03944757,4
TPM1,15q22.2,-0.219720816,0.039635568,4
DTX3,12q13.3,-0.209072267,0.040082095,4
